ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
UN,ELEC,City of Charleston - Gaillard Auditorium,32 Alexander St,,Charleston,SC,29401,Public,Garage business hours; pay lot,,,,,,4,,,Unknown,,200-8,32.787311,-79.930037,7/9/2019,45770,2019-07-09 17:26:18 UTC,LG,,,5/1/17,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,$1 per half hour parking fee; maximum payment of $16,,,,,,,,,
UN,ELEC,Petro Nissan,6248 Highway 98 W,,Hattiesburg,MS,39402,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,GPS,31.3178137,-89.3946827,6/6/2019,45836,2019-06-06 17:52:59 UTC,P,,,6/23/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,
UN,ELEC,Haddad Nissan,25 W Housatonic St,,Pittsfield,MA,1201,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,200-9,42.445108,-73.256216,7/9/2018,45908,2019-05-14 21:16:45 UTC,P,,,6/26/18,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,
UN,ELEC,Woody Folsom Nissan,1609 E 1st St,,Vidalia,GA,30474,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,200-9,32.210564,-82.391607,6/5/2018,46494,2019-05-14 21:16:45 UTC,P,,,5/29/18,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Ace Hardware,480 Kamokila,,Kapolei,HI,96707,Public,24 hours daily,,,,,,1,,,Unknown,,200-9,21.329863,-158.086621,5/3/2018,46779,2019-05-14 21:16:45 UTC,P,,,4/12/17,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
UN,ELEC,Montreat College,310 Appalachian Way,Located in L Nelson Bell Library & Belk Student Center parking lot. Lookout Road & Appalachian Way,Montreat,NC,28757,Public,24 hours daily,,,,,,1,,,Unknown,,GPS,35.64569,-82.296916,7/9/2018,47017,2019-05-14 21:16:45 UTC,J,,,7/6/17,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,
UN,ELEC,Aiken Electric Co-op,2790 Wagener Rd,1.5 miles East of SC Highway 118. Located in front of the flagpole,Aiken,SC,29801,Public,8am-6pm M-F,,,,,,1,,,Unknown,,GPS,33.547058,-81.6535,7/9/2019,47233,2019-07-09 17:26:18 UTC,T,,,1/1/18,,,,,J1772,US,,,,Public,,public,,,COOP,,,,,,,Free,,,,,,,,,
UN,ELEC,City of Columbus - Goodale Park,120 W Goodale St,Goodale St Between Park and Dennison St,Columbus,OH,43215,Public,24 hours daily; meter parking,Cash D M V,,,,,1,,,Unknown,,200-9,39.975215,-83.00678,3/7/2019,47452,2019-05-14 21:16:45 UTC,LG,,,10/7/16,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
UN,ELEC,City of Gulfport - Casino,5500 Shore Blvd S,Casino building street parking,Gulfport,FL,33707,Public,24 hours daily,,,,,,1,,,Unknown,,GPS,27.737752,-82.707812,6/6/2019,47657,2019-06-06 17:52:59 UTC,T,,,1/15/18,,,,,J1772,US,,,,Public,,public,,,OTHER_ENTERTAINMENT,,,,,,,Free,,,,,,,,,
UN,ELEC,Antwerpen Nissan,11405 Reisterstown Rd,,Owings Mills,MD,21117,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,200-9,39.438482,-76.802793,7/9/2018,47702,2019-05-14 21:16:45 UTC,P,,,6/26/18,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Homewood Suites - San Jose Airport,10 W Trimble Rd,,San Jose,CA,95131,Public,24 hours daily; for guest use only,,,,,,2,,,Unknown,,GPS,37.38514,-121.9288,5/3/2018,49342,2019-05-14 21:16:45 UTC,P,,,4/28/15,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
UN,ELEC,Langway Chevrolet of Manchester,4847 Main St,,Manchester,VT,5255,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,GPS,43.1769,-73.05818,12/11/2018,49406,2019-05-14 21:16:45 UTC,P,,,12/27/17,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,University of Pittsburgh Medical Center - Presbyterian Hospital Parking Garage,255 Lothrop St,"Lothrop and Terrace Street, enter garage off of Lothrop St",Pittsburgh,PA,15213,Public,24 hours daily,,,,,,2,,,Unknown,,200-8,40.442343,-79.961776,12/11/2018,49460,2019-05-14 21:16:45 UTC,P,,,10/24/16,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,,,,,,,,,,
